0    -0.088532313704490662 0.30661684274673462  -0.00060636101989075541         1 0.40248799324035645 0.30667802691459656 1 0.25633615255355835 0.34611350297927856 0.94987112283706665 0.080639630556106567 0.34033370018005371 0.25196635723114014 0.039894912391901016 0.24075423181056976 1 0.83118605613708496 0.38497111201286316 0.074587017297744751 0.91521602869033813 0.52196002006530762 0.88968390226364136 0.49434190988540649 0.66421365737915039 0.91788893938064575 0.38482645153999329 0.59292000532150269 0.30377936363220215 0 0.47655168175697327 0.56711965799331665 0 0.47062164545059204 0.4063851535320282 0.61752569675445557 0.35211127996444702 0 0.068465478718280792 0.89707756042480469 
1    -0.27865549921989441 -0.10700640827417374  -0.0054459385573863983         0.84243381023406982 0.28752639889717102 0.51266193389892578 0.88970279693603516 0.90755921602249146 0.6435282826423645 0.009736252948641777 0.15402141213417053 0.65147686004638672 0.28357848525047302 0.89447593688964844 0.41925603151321411 0.36754167079925537 0.82690298557281494 0.48287302255630493 0.50821870565414429 0.2744448184967041 0.80970197916030884 0.96856862306594849 0.34975001215934753 0.81208741664886475 0.11934219300746918 0.59524506330490112 0.96206903457641602 1 0.63021409511566162 0.68598979711532593 0.28623801469802856 0.8895193338394165 0.51461362838745117 0.094691671431064606 1 0.29754847288131714 0.56591141223907471 0.31127902865409851 0.41407820582389832 
2    -0.50699985027313232 -0.46857070922851562  -3.2919750083237886e-05         0.85621362924575806 0.85633313655853271 0.47426977753639221 0.84079933166503906 0.48382237553596497 0.54412788152694702 1 0.36447843909263611 0.79984575510025024 0.3875541090965271 0.60948538780212402 0.16021251678466797 0.90364474058151245 0.073863983154296875 0.40006345510482788 0.18507425487041473 0.1939624547958374 0.77402818202972412 1 0.31666195392608643 0.8004186749458313 0.44138666987419128 0.42202657461166382 0.80786871910095215 0.99921238422393799 0.80025899410247803 0.48117956519126892 1 0.17131780087947845 0.4490739107131958 1 0.55531221628189087 0.61735165119171143 0.69574141502380371 0.59578561782836914 0.1611802726984024 
3    -0.95444381237030029 -0.39949071407318115  -0.2288251519203186         1 0.9234006404876709 0.58663123846054077 0.61858338117599487 0.45708078145980835 0.51732438802719116 1 0.35131546854972839 0.79984575510025024 0.3315909206867218 0.52178442478179932 0.11178712546825409 1 0.10988627374172211 0.43177032470703125 0 0 1 1 0.31666195392608643 0.65143722295761108 0.56318646669387817 0.44309580326080322 0.67835259437561035 1 0.85751497745513916 0.2331051230430603 1 0.21505844593048096 0.39239341020584106 0.8680722713470459 0.55383956432342529 0.62573045492172241 0.51686739921569824 0.60819095373153687 0.18278986215591431 
4    -0.6887969970703125 -0.42705932259559631  -0.021240556612610817         0.97895002365112305 0.85633313655853271 0.4577595591545105 0.93196225166320801 0.48382237553596497 0.54412788152694702 0.90473771095275879 0.39643770456314087 0.79984575510025024 0.37950572371482849 0.60948538780212402 0.16021251678466797 1 0.073863983154296875 0.54346251487731934 0.18507425487041473 0.1939624547958374 0.89256411790847778 1 0.32309341430664062 0.66658180952072144 0.35841488838195801 0.25773027539253235 0.68109399080276489 0.99921238422393799 0.80025899410247803 0.48117956519126892 1 0.17131780087947845 0.4490739107131958 1 0.55077874660491943 0.54887914657592773 0.68239814043045044 0.59578561782836914 0.1191503033041954 
5    -0.90544450283050537 -0.53107237815856934  -0.33764773607254028         0.85565441846847534 0.9234006404876709 0.58663123846054077 0.63484162092208862 0.45708078145980835 0.51732438802719116 1 0.35131546854972839 0.79984575510025024 0.31484049558639526 0.52178442478179932 0.11178712546825409 1 0.10988627374172211 0.43177032470703125 0 0 1 1 0.31666195392608643 0.66084712743759155 0.50468385219573975 0.44309580326080322 0.67835259437561035 1 0.85751497745513916 0.2331051230430603 1 0.18351057171821594 0.39239341020584106 0.8680722713470459 0.55383956432342529 0.62573045492172241 0.51686739921569824 0.60819095373153687 0.18278986215591431 
6    -0.76814013719558716 -0.66023463010787964  -0.4073030948638916         0.96443372964859009 0.83427584171295166 0.51248782873153687 0.89123809337615967 0.44566786289215088 0.53295654058456421 1 0.36525022983551025 0.79984575510025024 0.30281293392181396 0.52178442478179932 0.17272061109542847 0.92997783422470093 0.073863983154296875 0.40006345510482788 0.12524360418319702 0.47475886344909668 0.95620465278625488 1 0.32803195714950562 0.75910693407058716 0.74875718355178833 0.40366640686988831 0.57682913541793823 1 0.80025899410247803 0.20486187934875488 0.80584609508514404 0.17131780087947845 0.4490739107131958 0.97701472043991089 0.57448369264602661 0.64787179231643677 0.67627298831939697 0.62460881471633911 0.18278986215591431 
7    -0.80794596672058105 -0.59519392251968384  -0.26019304990768433         0.93172478675842285 0.83427584171295166 0.51663738489151001 0.89123809337615967 0.45708078145980835 0.55150014162063599 1 0.36525022983551025 0.79984575510025024 0.30281293392181396 0.52178442478179932 0.16021251678466797 0.92997783422470093 0.073863983154296875 0.40006345510482788 0.20138902962207794 0.69508683681488037 0.95595341920852661 1 0.32803195714950562 0.75910693407058716 0.6272241473197937 0.3720308244228363 0.57682913541793823 1 0.80025899410247803 0.20486187934875488 0.80584609508514404 0.17131780087947845 0.4490739107131958 0.97701472043991089 0.57448369264602661 0.64787179231643677 0.67627298831939697 0.62460881471633911 0.18278986215591431 
8    -0.81313121318817139 -0.62581765651702881  -0.20956207811832428         0.76976042985916138 0.83427584171295166 0.51248782873153687 0.89123809337615967 0.44566786289215088 0.53295654058456421 1 0.36525022983551025 0.79984575510025024 0.30281293392181396 0.52178442478179932 0.16021251678466797 0.92997783422470093 0.073863983154296875 0.40006345510482788 0.12524360418319702 0.47475886344909668 0.93343156576156616 1 0.32803195714950562 0.75910693407058716 0.74875718355178833 0.3720308244228363 0.57682913541793823 1 0.78107166290283203 0.20486187934875488 0.80584609508514404 0.17131780087947845 0.4490739107131958 0.97701472043991089 0.57448369264602661 0.64787179231643677 0.67627298831939697 0.63189792633056641 0.18278986215591431 
9    -0.8743860125541687 -0.6335374116897583  -0.41435477137565613         0.96443372964859009 0.83427584171295166 0.53144389390945435 0.89123809337615967 0.44566786289215088 0.53295654058456421 1 0.36525022983551025 0.79984575510025024 0.30281293392181396 0.52178442478179932 0.16021251678466797 0.92997783422470093 0.073863983154296875 0.40006345510482788 0.12524360418319702 0.47475886344909668 0.95620465278625488 1 0.32803195714950562 0.75910693407058716 0.74875718355178833 0.33554527163505554 0.57682913541793823 1 0.80025899410247803 0.20486187934875488 0.80584609508514404 0.17131780087947845 0.4490739107131958 1 0.57448369264602661 0.64787179231643677 0.67627298831939697 0.62460881471633911 0.18278986215591431 
